Job title,Company,location,job type
Project Manager (Remote),Holibob -,"Dubai, United Arab Emirates ",Full Time
"Business Development Director, Middle East",WhiteCrow Research -,"Dubai, United Arab Emirates ",Full Time
Telecom Engineer,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Senior Cyber Security - GRC Engineer,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Information Systems Lead,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Business Applications Analyst,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
AFC Technician,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Data Analyst,Skill Farm -,"Dubai, United Arab Emirates ",Full Time
Cyber Security Manager,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Cyber Security Junior SOC Engineer,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
BMW Certified Technician,Abu Dhabi Motors - BMW MINI and Rolls-Royce -,"Dubai, United Arab Emirates ",Full Time
Telecom Technician,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Junior Translator,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Business Analyst Graduate,Skill Farm -,"Dubai, United Arab Emirates ",Full Time
Testing Engineer,DXC Technology -,"Cairo, Egypt ",Full Time
"Technology Recruitment Partner, Temporary Contract - 12 months",Emirates -,"Dubai, United Arab Emirates ",Freelance / Project
Graduate Analyst - Commercial,Skill Farm -,"Dubai, United Arab Emirates ",Full Time
Senior Pipelines Designer,Worley -,"Riyadh, Saudi Arabia ",Full Time
Shared Resources Cost Estimating Lead (F-1343-Q),Oil and Gas Job Search Ltd -,"Doha, Qatar ",Full Time
Senior Electrical Engineer,Parsons Corporation -,"Riyadh, Saudi Arabia ",Full Time
Site Project Manager,Parsons Corporation -,"Riyadh, Saudi Arabia ",Full Time
Project Administrator (Saudi National),Parsons Corporation -,"Riyadh, Saudi Arabia ",Full Time
Project Management Analyst,Skill Farm -,"Cairo, Egypt ",Full Time
Consulting Associate,Skill Farm -,"Cairo, Egypt ",Full Time
Client Management Analyst/Asisstant,Skill Farm -,"Cairo, Egypt ",Full Time
HR Analyst,Skill Farm -,"Cairo, Egypt ",Full Time
Flutter Developer,HandleT -,"New Cairo, Cairo, Egypt ",Full Time
Pool Attendant,"The Lana, Dubai - Dorchester Collection -","Dubai, United Arab Emirates ",Freelance / Project
Head of Information Security,Elkho Group -,"Riyadh, Saudi Arabia ",Full Time
Risk and Security Supervisor,RATP Dev Middle East & North Africa -,"Riyadh, Saudi Arabia ",Full Time
Technician Junior,RATP Dev Middle East & North Africa -,"Riyadh, Saudi Arabia ",Full Time
System Engineer Junior,RATP Dev Middle East & North Africa -,"Riyadh, Saudi Arabia ",Full Time
IT Security Engineer,Elkho Group -,"Riyadh, Saudi Arabia ",Full Time
Information Systems (IS) Service Manager,ABB -,"Doha, Qatar ",Full Time
Senior React JS Developer,El Nozom -,"Giza, Egypt ",Full Time
On-Site Service Specialist,Hitachi Energy -,"Doha, Qatar ",Freelance / Project
Engineering Opportunity / GEN-E Graduate Program,Ericsson -,"Makkah, Saudi Arabia ",Full Time
Software Project Manager,MTS-IT -,"Maadi, Cairo, Egypt ",Full Time
(Global Oil Gas) Process Automation Network Cybersecurity Engineer,MatchaTalent -,"Kuwait City, Kuwait ",Full Time
HR Analyst - Onboarding,Al-Futtaim -,"Dubai, United Arab Emirates ",Full Time
Track Engineer,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
React Native Mobile Developer,Confidential -,"Toronto, Canada ",Full Time
Software sales,Confidential -,"Maadi, Cairo, Egypt ",Full Time
Senior .NET Core Developer,DEVOPSOLUTION -,"Nasr City, Cairo, Egypt ",Full Time
Sales Representative,ERP-Bank -,"Sidi Gaber, Alexandria, Egypt ",Full Time
IT Support Officer,Egyptrol -,"Cairo, Egypt ",Full Time
Senior Digitalization and Automatization, Circle K -,"Sheraton, Cairo, Egypt ",Full Time
Java Backend Consultant/Sr. Consultant,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
IT Help Desk Specialist,Cairoscan -,"Mohandessin, Giza, Egypt ",Full Time
Data/Artificial Intelligence Consultant / Sr. Consultant,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Flight Simulator Training Device Support Engineer,CAE -,"Doha, Qatar ",Full Time
Lead Package Services,Oil and Gas Job Search Ltd -,"Doha, Qatar ",Full Time
Lead of Commissioning I&C,Oil and Gas Job Search Ltd -,"Doha, Qatar ",Full Time
Software Developer,HITS Solutions -,"Nasr City, Cairo, Egypt ",Full Time
Full Stack Developer,Tafeel -,"Riyadh, Saudi Arabia ",Full Time
Senior Embedded Software Consultant - Relocation to Belgium,Smarterminds -,"Downtown, Cairo, Egypt ",Full Time
Cloud Consultant/Sr. Consultant,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Senior Full stack Developer (.Net Core & Angular),BI-Technologies -,"New Cairo, Cairo, Egypt ",Full Time
VB6 Developer,InfoPeak Software -,"Maadi, Cairo, Egypt ",Full Time
Junior Software Developer,Mohandes Life Insurance  -,"Giza, Egypt ",Full Time
Senior Software Developer,Mohandes Life Insurance  -,"Giza, Egypt ",Full Time
Sales IT (integrated solutions).,Injaz Tech for advanced systems -,"Heliopolis, Cairo, Egypt ",Full Time
Junior IT System Administrator,Mohandes Life Insurance  -,"Giza, Egypt ",Full Time
ERP Software implementation coordinator,Confidential -,"Mokattam, Cairo, Egypt ",Full Time
Emergency Preparedness Coordinator,QatarEnergy -,"Doha, Qatar ",Full Time
Backend Developer (Java Spring Boot),Confidential -,"Cairo, Egypt ",Full Time
Front End Developer (Angular),Confidential -,"Cairo, Egypt ",Full Time
Solutions Architect,Messilat -,"Dubai, United Arab Emirates ",Full Time
Odoo Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full Time
Senior Consultant M365 Services (M/F/D),All for One Egypt -,"Alexandria, Egypt ",Full Time
"Software Mobile Maintenance (Mansoura, Alexandria)",Tradeline Stores -,"Alexandria, Egypt ",Full Time
Senior Infrastructure System Admin,Adaptive Solutions -,"Nasr City, Cairo, Egypt ",Full Time
Software Development Team Lead,Khales -,"Giza, Egypt ",Full Time
Senior Database Administrator (M/F/D),All for One Egypt -,"Alexandria, Egypt ",Full Time
Senior .NET Developer,LINK Development -,"Maadi, Cairo, Egypt ",Full Time
Sales Account Manager,Dev-Unit -,"Nasr City, Cairo, Egypt ",Full Time
VP Marketing (Advanced Technology Solutions),Black & Grey HR -,"Dubai, United Arab Emirates ",Full Time
ArcGIS Developer,qTech.  -,"Mansoura, Dakahlia, Egypt ",Full Time
System Administrator,Confidential -,"New Nozha, Cairo, Egypt ",Full Time
Odoo Implementer,Confidential -,"Maadi, Cairo, Egypt ",Full Time
Network Support Engineer,Wham Clinics  -,"Sidi Bishr, Alexandria, Egypt ",Full Time
Sr Manager-Services (Jeddah),Honeywell -,"Riyadh, Saudi Arabia ",Full Time
IT Manager - Alexandria,Wham Clinics  -,"Sidi Bishr, Alexandria, Egypt ",Full Time
SEO Specialist,Generator -,"Heliopolis, Cairo, Egypt ",Full Time
Senior IOS Developer,Khazna Tech -,"Cairo, Egypt ",Full Time
Large Taxpayer Services Senior Specialist,NEOM -,"Riyadh, Saudi Arabia ",Full Time
Second Chef,Marston’s PLC -,"Alexandria, Egypt ",Full Time
SEO Developer,engineering tracks -,"Nasr City, Cairo, Egypt ",Full Time
Software sales Specialist,DIRAC SYSTEMS -,"Heliopolis, Cairo, Egypt ",Full Time
Delivery Head (Mission Critical Network Rollout),Norconsult Telematics -,"Riyadh, Saudi Arabia ",Full Time
Big Data Developer,TheTalentPoint | Jobs in UAE & Middleeast -,"Dubai, United Arab Emirates ",Full Time
"IT Support, UAE",PanzerGlass -,"Dubai, United Arab Emirates ",Full Time
